Hostname,VLAN,Node,Module,Port,Tenant,App,EPG
ESXTEST01,3509,105,1,36,Corporate,OpenAccess,DHCP3509
ESXTEST01,3510,105,1,36,Corporate,OpenAccess,ESXdata3510
ESXTEST01,3512,105,1,36,Corporate,Dev-Test,ESXdata3512
ESXTEST01,3504,105,1,36,Corporate,OpenAccess,ESXmgmt
ESXTEST01,108,105,1,36,Corporate,LegacyVlans,LEGACY-VLAN108
ESXTEST01,113,105,1,36,Corporate,LegacyVlans,LEGACY-VLAN113
ESXTEST01,17,105,1,36,Corporate,LegacyVlans,LEGACY-VLAN17
ESXTEST01,180,105,1,36,Corporate,LegacyVlans,LEGACY-VLAN180
ESXTEST01,243,105,1,36,Corporate,LegacyVlans,LEGACY-VLAN243
ESXTEST01,37,105,1,36,Corporate,LegacyVlans,LEGACY-VLAN37
ESXTEST01,41,105,1,36,Corporate,LegacyVlans,LEGACY-VLAN41
ESXTEST01,42,105,1,36,Corporate,LegacyVlans,LEGACY-VLAN42
ESXTEST01,47,105,1,36,Corporate,LegacyVlans,LEGACY-VLAN47
ESXTEST01,48,105,1,36,Corporate,LegacyVlans,LEGACY-VLAN48
ESXTEST01,60,105,1,36,Corporate,LegacyVlans,LEGACY-VLAN60
ESXTEST01,80,105,1,36,Corporate,LegacyVlans,LEGACY-VLAN80
ESXTEST01,3566,105,1,36,Corporate,OpenAccess,RCAServers3566
ESXTEST01,3548,105,1,36,Corporate,OpenAccess,SERVERBUILDS3548
ESXTEST01,3532,105,1,36,Corporate,OpenAccess,SUPPORT3532
ESXTEST01,4,105,1,36,Corporate,LegacyVlans,SVR4
ESXTEST01,5,105,1,36,Corporate,LegacyVlans,SVR5
ESXTEST01,6,105,1,36,Corporate,LegacyVlans,SVR6
ESXTEST01,77,105,1,36,Corporate,LegacyVlans,SVR77
ESXTEST01,3042,105,1,36,Corporate,Bridges,TVC2IACORE1-3042
ESXTEST01,100,105,1,36,Corporate,LegacyVlans,VLAN100
ESXTEST01,242,105,1,36,Corporate,LegacyVlans,VLAN242
ESXTEST01,3513,105,1,36,Corporate,OpenAccess,VLAN3513
ESXTEST01,3514,105,1,36,Corporate,OpenAccess,VLAN3514
ESXTEST01,50,105,1,36,Corporate,LegacyVlans,VLAN50
ESXTEST01,620,105,1,36,Corporate,LegacyVlans,VLAN620
ESXTEST01,630,105,1,36,Corporate,LegacyVlans,VLAN630
ESXTEST01,640,105,1,36,Corporate,LegacyVlans,VLAN640
ESXTEST01,3567,105,1,36,Corporate,OpenAccess,WDSServer3567
ESXTEST01,3616,106,1,36,Corporate,OpenAccess,AVMGMT3616
ESXTEST01,3556,106,1,36,Corporate,OpenAccess,DESKTOPBUILDSVM3556
ESXTEST01,3508,106,1,36,Corporate,OpenAccess,DHCP3508
ESXTEST01,3509,106,1,36,Corporate,OpenAccess,DHCP3509
ESXTEST01,3510,106,1,36,Corporate,OpenAccess,ESXdata3510
ESXTEST01,3512,106,1,36,Corporate,Dev-Test,ESXdata3512
ESXTEST01,3504,106,1,36,Corporate,OpenAccess,ESXmgmt
